year,sa_NPGO,sa_BEUTI,sa_CUTI,sa_MEI,sa_ONI,sa_PDO,sa_deltaT,sa_SST,sa_WASST,as_flowPeakW,as_propRI1,as_floodRI,as_flowFebJun,as_airTJanApr,as_airTann
1993,-0.62443,8.303916667,0.746333333,-0.043602675,0.475,-0.151666667,13.516,0.256637911,0.564803799,943.056,0.012121212,1.025,429.23,7.059722222,16.27361111
1994,-0.721049167,4.328916667,0.616166667,-0.473055045,-0.16,0.6425,12.92916222,0.075393069,0.678633472,1050.672,0.009478673,1.064935065,446.14,6.5125,15.06111111
1995,-0.368219167,9.8305,0.83275,-0.563843333,-0.46,0.640833333,11.68364269,0.402150796,0.178189678,1659.552,0.103773585,1.547169811,544.4,6.215277778,15.44583333
1996,-0.0410225,7.207,0.816416667,0.770980168,1.170833333,1.460833333,12.97763544,0.677047771,0.8131029,3993.12,0.265402844,27.33333333,517.11,4.34814815,15.19629629
1997,0.6846875,6.806666667,0.763666667,0.263221215,-0.0575,0.245833333,11.38557259,0.102874301,0.974655449,1438.656,0.071770335,3.037037037,739.75,6.604166667,16.775
1998,1.4613975,16.10666667,1.07725,-0.5678487,-1.225,-1.063333333,10.78304949,-0.746591808,-0.385909338,1835.136,0.047619048,1.863636364,424.83,5.558333333,14.78888889
1999,1.831466667,9.631083333,0.907166667,-0.191593768,-0.835833333,-0.59,11.65373042,-0.242213968,0.131770591,1648.224,0.094339623,1.490909091,562.99,6.429166667,13.71666667
2000,2.026291667,14.70558333,1.152666667,0.41441455,-0.308333333,-0.5625,13.61864905,-0.231961951,-0.210564195,2225.952,0.14084507,3.28,487.25,6.104166667,15.20277778
2001,1.4192225,16.14533333,1.08625,0.798416435,0.630833333,0.220833333,12.67801126,-0.163245783,-0.408161281,835.44,0,1.012345679,316.95,5.055555556,15.46805556
2002,0.933760833,9.983166667,0.879583333,0.509857998,0.250833333,0.969166667,13.70890499,0.424203229,0.563065568,2288.256,0.099056604,3.904761905,635.13,6.7,16.39861111
2003,0.4573925,8.59075,0.9675,0.18888511,0.446666667,0.345,13.74146341,0.423035986,0.541361708,1682.208,0.037735849,1.607843137,478.38,5.49814815,17.04444444
2004,-1.1162325,8.376166667,0.825833333,-0.36238147,0.040833333,0.375,14.71956522,0.390542562,0.361710906,3823.2,0.100478469,16.4,433.23,6.958333333,16.3375
2005,0.277038333,10.91083333,1.002583333,-0.183164783,0.071666667,0.190833333,13.68038323,0.006548212,-0.037286082,2152.32,0.107843137,2.827586207,360.29,6.126388889,16.00833333
2006,0.775716667,16.34725,1.253166667,-0.637907723,-0.6075,-0.195833333,11.59571866,-0.286216433,-0.060684422,1707.696,0.113207547,1.673469388,480.12,5.802777778,15.67361111
2007,1.400606667,16.18141667,0.997916667,-0.629280298,-0.781666667,-1.2925,10.84570168,-0.612387564,-1.006977566,3908.16,0.117924528,20.5,617.21,4.654166667,15.14444444
2008,0.6819125,11.56825,0.81525,0.213258718,0.281666667,-0.6125,12.21956522,-0.328160472,-0.666692167,2293.92,0.03286385,4.1,509.88,4.666666667,17.12222222
2009,1.315759167,11.25225,0.816166667,-0.505253483,-0.479166667,-0.3125,12.49375862,-0.273869869,-0.047148804,2262.768,0.048076923,3.565217391,424.47,6.973611111,15.64305556
2010,0.802884167,11.01566667,0.91175,-0.810790625,-0.860833333,-1.230833333,10.83076923,-0.383413385,-0.076348383,2073.024,0.132075472,2.64516129,392.9,4.393055556,14.62361111
2011,1.422501667,10.762,0.795416667,-0.016054293,-0.150833333,-1.1,10.74444444,-0.616201375,-0.308059773,2565.792,0.070754717,4.823529412,443.54,5.295833333,15.22777778
2012,0.4398975,16.78683333,1.0815,-0.0696721,-0.3225,-0.5175,12.90625,-0.008725699,0.152498028,1784.16,0.075117371,1.782608696,643.49,5.511111111,16.575
2013,0.458796667,7.982583333,0.539666667,-0.149981145,0.116666667,1.130833333,12.7537037,0.947580723,0.255127318,1353.696,0.105263158,1.223880597,575.85,5.656944444,16.95138889
2014,-1.0253275,7.8065,0.669833333,0.91351947,1.460833333,1.634166667,15.22340426,1.400827588,1.312451404,1350.864,0.051886792,1.322580645,621.52,7.716666667,17.99722222
2015,0.3679225,7.674833333,0.608083333,0.173597988,0.334166667,1.5425,13.8509434,1.009833987,0.986716073,2568.624,0.221698113,5.125,418.75,7.579166667,16.72638889
2016,-0.0732925,9.503916667,0.70725,-0.57648622,-0.204166667,0.5175,13.13148148,0.521411417,0.397972266,2231.616,0.145539906,3.416666667,540.96,4.473611111,16.55694444
2017,-2.030033333,12.75508333,1.00525,-0.710245675,0.006666667,0.1925,13.77222222,0.750507185,0.611042003,1540.608,0.150943396,1.301587302,626.88,5.748611111,17.32638889
2018,-2.250289237,11.62391667,0.824583333,-1.9662518,0.4875,0.5975,13.48333333,0.910496989,0.892283678,2670.576,0.132075472,6.307692308,588.74,5.381944444,16.79722222
2019,-1.7583546,13.32158333,0.972833333,-0.654545455,-0.359166667,-0.53,13.62246806,1.735026,1.105231,1619.904,0.070754717,1.438596491,377.6,,15.91527778
